schema_version,sentence_id,word_id,picture_id,base_en,base_audio_ms,en_sentence,zh_sentence,zh_tr,ja_sentence,ja_tr,es_sentence,fr_sentence
1,sent_001,w_001,,Hello!,,I love you,???,w? ài n?,??????,w? ài n?,Te quiero,Je t'aime
1,sent_002,w_002,,food,,His hobby is painting,???????,t? de ài hào shì huà huà,?????????????,t? de ài hào shì huà huà,Su pasatiempo es pintar,Son hobby est la peinture
,sent_003,w_003,,eight,,I have eight books,?????,w? y?u b? b?n sh?,????8???????,w? y?u b? b?n sh?,Tengo ocho libros,J'ai huit livres
,sent_004,w_004,,dad,,Dad is working,?????,bà ba zài g?ng zuò,???????????,bà ba zài g?ng zuò,Papá está trabajando,Papa travaille
,sent_005,w_005,,Hello!,,Let's go,????,w? men z?u ba,??????,w? men z?u ba,Vamos,Allons-y
,sent_006,w_006,,food,,White flowers,????,bái sè de hu?,???,bái sè de hu?,Flores blancas,Fleurs blanches
,sent_007,w_007,,eight,,It is hot during the day,????,bái ti?n h?n rè,???????,bái ti?n h?n rè,Hace calor durante el día,Il fait chaud pendant la journée
,sent_008,w_008,,dad,,One hundred people,????,y? b?i gè rén,100?,y? b?i gè rén,Cien personas,Cent personnes
,sent_009,w_009,,Hello!,,Our class is big,?????,w? men b?n h?n dà,?????????????,w? men b?n h?n dà,Nuestra clase es grande,Notre classe est grande
,sent_010,w_010,,food,,Half an apple,????,bàn gè píng gu?,?????,bàn gè píng gu?,Media manzana,Une demi-pomme
,sent_011,w_011,,eight,,I have studied Chinese for half a year,???????,w? xué le bàn nián hàn y?,??????????????,w? xué le bàn nián hàn y?,He estudiado chino durante medio año,J'étudie le chinois depuis six mois
,sent_012,w_012,,dad,,I waited for half a day,?????,w? d?ng le bàn ti?n,???????,w? d?ng le bàn ti?n,Esperé medio día,J'ai attendu une demi-journée
,sent_013,w_013,,Hello!,,Please help me,?????,q?ng b?ng w? yí xià,???????,q?ng b?ng w? yí xià,"Por favor, ayúdame","S'il vous plaît, aidez-moi"
,sent_014,w_014,,food,,Thank you for your help,??????,xiè xiè n? de b?ng máng,??????????,xiè xiè n? de b?ng máng,Gracias por tu ayuda,Merci pour votre aide
,sent_015,w_015,,eight,,I bought a bag,??????,w? m?i le yí gè b?o,?????????,w? m?i le yí gè b?o,Compré una bolsa,J'ai acheté un sac
,sent_016,w_016,,dad,,I like to eat steamed buns,??????,w? x? hu?n ch? b?o zi,????????????????,w? x? hu?n ch? b?o zi,Me gusta comer bollos al vapor,J'aime manger des petits pains vapeur
,sent_017,w_017,,Hello!,,Give me a glass of water,?????,g?i w? yì b?i shu?,????????????,g?i w? yì b?i shu?,Dame un vaso de agua,Donne-moi un verre d'eau
,sent_018,w_018,,food,,The cup is on the table,??????,b?i zi zài zhu? zi shàng,???????????????,b?i zi zài zhu? zi shàng,La taza está en la mesa,La tasse est sur la table
,sent_019,w_019,,eight,,The north wind is cold,????,b?i f?ng h?n l?ng,????????,b?i f?ng h?n l?ng,El viento del norte es frío,Le vent du nord est froid
,sent_020,w_020,,dad,,The school is to the north,?????,xué xiào zài b?i bi?n,?????????,xué xiào zài b?i bi?n,La escuela está al norte,L'école est au nord
,sent_021,w_021,,Hello!,,I am going to Beijing for travel,??????,w? qù b?i j?ng l? yóu,????????????,w? qù b?i j?ng l? yóu,Voy a Pekín de viaje,Je vais à Pékin en voyage
,sent_022,w_022,,food,,This is my notebook,??????,zhè shì w? de b?n zi,??????????,zhè shì w? de b?n zi,Este es mi cuaderno,Voici mon cahier
,sent_023,w_023,,eight,,I bought a notebook,???????,w? m?i le yí gè b?n zi,???????????,w? m?i le yí gè b?n zi,Compré un cuaderno,J'ai acheté un cahier
,sent_024,w_024,,dad,,He is taller than me,????,t? b? w? g?o,???????????,t? b? w? g?o,Él es más alto que yo,Il est plus grand que moi
,sent_025,w_025,,Hello!,,Don't go,??,bié z?u,?????,bié z?u,No te vayas,N'y va pas
,sent_026,w_026,,food,,I want to buy something else,???????,w? xi?ng m?i bié de d?ngxi,???????????????,w? xi?ng m?i bié de d?ngxi,Quiero comprar algo más,Je veux acheter autre chose
,sent_027,w_027,,eight,,Others have all arrived,?????,bié rén d?u lái le,?????????????,bié rén d?u lái le,Ya han llegado los demás,Les autres sont tous arrivés
,sent_028,w_028,,dad,,He is sick,????,t? sh?ng bìng le,??????,t? sh?ng bìng le,Él está enfermo,Il est malade
,sent_029,w_029,,Hello!,,There are patients in the hospital,??????,y?yuàn l? y?u bìngrén,??????????,y?yuàn l? y?u bìngrén,Hay pacientes en el hospital,Il y a des patients à l'hôpital
,sent_030,w_030,,Hello!,,This piece of clothing is not big,??????,zhè jiàn y?fu bù dà,????????????,zhè jiàn y?fu bù dà,Esta prenda no es grande,Ce vêtement n'est pas grand
,sent_031,w_031,,food,,Your answer is incorrect,??????,n? de dá'àn bù duì,??????????????,n? de dá'àn bù duì,Tu respuesta es incorrecta,Votre réponse est incorrecte
,sent_032,w_032,,eight,,"Thank you, you’re welcome",??????,"xièxie, bù kèqi",??????????????,"xièxie, bù kèqi","Gracias, de nada","Merci, de rien"
,sent_033,w_033,,dad,,You don’t need to worry,?????,n? bù yòng d?n x?n,???????????,n? bù yòng d?n x?n,No necesitas preocuparte,Ne vous inquiétez pas
,sent_034,w_034,,Hello!,,I don’t like this,??????,w? bù x?huan zhège,??????????????,w? bù x?huan zhège,No me gusta esto,Je n'aime pas ça
,sent_035,w_035,,food,,I like to eat vegetables,?????,w? x?huan ch? cài,??????????????,w? x?huan ch? cài,Me gusta comer verduras,J'aime manger des légumes
,sent_036,w_036,,eight,,Please have some tea,???,q?ng h? chá,???????,q?ng h? chá,"Por favor, tómate un té","Prends du thé, s'il te plaît"
,sent_037,w_037,,dad,,Almost time,?????,ch? shíji?n y?di?n,??????,ch? shíji?n y?di?n,Casi es la hora,Il est presque l'heure
,sent_038,w_038,,Hello!,,I often go to the library,??????,w? cháng qù túsh?gu?n,????????????,w? cháng qù túsh?gu?n,Suelo ir a la biblioteca,Je vais souvent à la bibliothèque
,sent_039,w_039,,food,,He is often late,?????,t? chángcháng chídào,??????,t? chángcháng chídào,Suele llegar tarde,Il est souvent En retard
,sent_040,w_040,,eight,,She likes to sing,?????,t? x?huan chàng g?,???????????,t? x?huan chàng g?,Ella Le gusta cantar,Elle aime chanter
,sent_041,w_041,,dad,,We sing together,??????,w?men y?q? chàng g?,???????????,w?men y?q? chàng g?,Cantamos juntos,Nous chantons ensemble
,sent_042,w_042,,Hello!,,The car is coming,???,ch? lái le,???????,ch? lái le,El coche viene,La voiture arrive
,sent_043,w_043,,food,,I bought a ticket,?????,w? m?i le ch?piào,????????,w? m?i le ch?piào,Compré un billete,J'ai acheté un billet
,sent_044,w_044,,eight,,The car is crowded,????,ch? shàng h?n j?,????????,ch? shàng h?n j?,El coche está lleno,La voiture est bondée
,sent_045,w_045,,dad,,The station is ahead,?????,ch?zhàn zài qiánmiàn,???????,ch?zhàn zài qiánmiàn,La estación está más adelante,La gare est devant
,sent_046,w_046,,Hello!,,I want to eat,????,w? xi?ng ch? fàn,??????,w? xi?ng ch? fàn,Quiero comer,Je veux manger
,sent_047,w_047,,food,,Let’s eat together,??????,w?men y?q? ch? fàn,?????????,w?men y?q? ch? fàn,Comamos juntos,Mangeons ensemble
,sent_048,w_048,,eight,,He went out,????,t? ch? qù le,????????,t? ch? qù le,Salió,Il est sorti
,sent_049,w_049,,dad,,Please come out,???,q?ng ch? lái,??????,q?ng ch? lái,"Por favor, sal","Sors, ??s'il te plaît"
,sent_050,w_050,,Hello!,,We go out to play,?????,w?men ch? qù wán,???????????,w?men ch? qù wán,Salimos a jugar,Nous allons jouer dehors
,sent_051,w_051,,food,,He likes to wear red clothes,????????,T? x?hu?n chu?n hóngsè y?fú,??????????????,T? x?hu?n chu?n hóngsè y?fú,Le gusta usar ropa roja,Il aime porter des vêtements rouges
,sent_052,w_052,,eight,,I lie on the bed to rest,???????,W? t?ng zài chuáng shàng xi?xí,???????????????,W? t?ng zài chuáng shàng xi?xí,Me acuesto en la cama para descansar,Je m'allonge sur le lit pour me reposer
,sent_053,w_053,,dad,,This is my first time coming here,?????????,Zhè shì w? dì y? cì lái zhèl?,????????????,Zhè shì w? dì y? cì lái zhèl?,Esta es la primera vez que vengo aquí,C'est la première fois que je viens ici
,sent_054,w_054,,Hello!,,I return home from school,??????,W? cóng xuéxiào huí ji?,????????????,W? cóng xuéxiào huí ji?,Regreso a casa de la escuela,Je rentre de l'école
,sent_055,w_055,,eight,,I made a mistake,???????,W? fànle yí gè cuòwù,????????,W? fànle yí gè cuòwù,Cometí un error,J'ai fait une erreur
,sent_056,w_056,,dad,,He likes to play basketball,??????,T? x?hu?n d? lánqiú,???????????????????,T? x?hu?n d? lánqiú,Le gusta jugar al baloncesto,Il aime jouer au basket-ball
,sent_057,w_057,,Hello!,,I take a taxi to the airport,??????,W? d?ch? qù j?ch?ng,??????????????,W? d?ch? qù j?ch?ng,Tomo un taxi al aeropuerto,Je prends un taxi pour l'aéroport
,sent_058,w_058,,Hello!,,I call my mother,???????,W? g?i m?ma d? diànhuà,????????????,W? g?i m?ma d? diànhuà,Llamo a mi madre,J'appelle ma mère
,sent_059,w_059,,food,,Please open the door,????,Q?ng d?k?i mén,??????????,Q?ng d?k?i mén,"Por favor, abre la puerta","Ouvre la porte, s'il te plaît"
,sent_060,w_060,,eight,,They play ball in the park,???????,T?men zài g?ngyuán d? qiú,?????????????????,T?men zài g?ngyuán d? qiú,Juegan a la pelota en el parque,Ils jouent au ballon dans le parc
,sent_061,w_061,,dad,,This is a big city,???????,Zhè shì yí zuò dà chéngshì,?????????,Zhè shì yí zuò dà chéngshì,Esta es una ciudad grande,C'est une grande ville
,sent_062,w_062,,Hello!,,He studies at university,??????,T? zài dàxué xuéxí,????????????,T? zài dàxué xuéxí,Él estudia en la universidad,Il étudie à l'université
,sent_063,w_063,,food,,She is a college student,???????,T? shì yì míng dàxuésh?ng,????????,T? shì yì míng dàxuésh?ng,Ella es una estudiante universitaria,Elle est étudiante
,sent_064,w_064,,eight,,I arrived at school,?????,W? dào le xuéxiào,??????????,W? dào le xuéxiào,Llegué a la escuela,Je suis arrivée à l'école
,sent_065,w_065,,dad,,I received a gift,??????,W? dédào le l?wù,??????????????,W? dédào le l?wù,Recibí un regalo,J'ai reçu un cadeau
,sent_066,w_066,,Hello!,,He laughed happily,??????,T? g?oxìng de xiào le,????????????,T? g?oxìng de xiào le,Él se rió alegremente,Il a ri joyeusement
,sent_067,w_067,,food,,This is my book,?????,Zhè shì w? de sh?,????????,Zhè shì w? de sh?,Este es mi libro,C'est mon livre
,sent_068,w_068,,eight,,We are waiting for the bus,???????,W?men zài d?ng g?ngji?o ch?,?????????????,W?men zài d?ng g?ngji?o ch?,Estamos esperando el autobús,Nous attendons le bus
,sent_069,w_069,,dad,,He laughed happily,??????,T? g?oxìng de xiào le,????????????,T? g?oxìng de xiào le,Él se rió alegremente,Il a ri joyeusement
,sent_070,w_070,,Hello!,,The meeting place is here,???????,Huìyì dìdi?n zài zhèl?,????????????,Huìyì dìdi?n zài zhèl?,El lugar de encuentro es aquí,Le lieu de rendez-vous est ici
,sent_071,w_071,,food,,This is a good place,??????,Zhèl? shì h?o dìf?ng,?????????,Zhèl? shì h?o dìf?ng,Este es un buen lugar,C'est un bon endroit
,sent_072,w_072,,eight,,Books are on the ground,????,Sh? zài dìshàng,????????????,Sh? zài dìshàng,Los libros están en el suelo,Les livres sont par terre
,sent_073,w_073,,dad,,I use a map to find the way,??????,W? yòng dìtú zh?o lù,???????????????,W? yòng dìtú zh?o lù,Uso un mapa para encontrar el camino,J'utilise une carte pour trouver le chemin
,sent_074,w_074,,Hello!,,I have a younger brother,??????,W? y?u yí gè dìdi,????????,W? y?u yí gè dìdi,Tengo un hermano menor,J'ai un petit frère
,sent_075,w_075,,food,,This is the first place,?????,Zhè shì dì y? míng,???????????,Zhè shì dì y? míng,Este es el primer lugar,C'est le premier endroit
,sent_076,w_076,,Hello!,,Please order the dishes.,?????,q?ng n? di?n cài.,???????????,q?ng n? di?n cài.,"Por favor, ordena los platos.",Veuillez commander les plats.
,sent_077,w_077,,food,,The electric light is on.,?????,diàn d?ng liàng le.,?????????,diàn d?ng liàng le.,La luz está encendida.,La lumière électrique est allumée.
,sent_078,w_078,,eight,,I will call you.,???????,w? d? diànhuà g?i n?.,???????????????????,w? d? diànhuà g?i n?.,Te llamaré.,Je t'appellerai.
,sent_079,w_079,,dad,,I bought a new computer.,???????,w? m?i le x?n diànn?o.,???????????,w? m?i le x?n diànn?o.,Compré una computadora nueva. El televisor está encendido.,J'ai acheté un nouvel ordinateur.
,sent_080,w_080,,Hello!,,The TV is on.,??????,diànshì k?i zhe ne.,???????????,diànshì k?i zhe ne.,El televisor está roto.,La télé est allumée.
,sent_081,w_081,,food,,The TV set is broken.,??????,diànshìj? huài le.,????????????,diànshìj? huài le.,Vamos a ver una película.,La télé est cassée.
,sent_082,w_082,,eight,,Let's go watch a movie.,???????,w?men qù kàn diàny?ng.,?????????????,w?men qù kàn diàny?ng.,El cine es muy grande.,Allons voir un film.
,sent_083,w_083,,dad,,The cinema is very big.,??????,diàny?ngyuàn h?n dà.,???????????,diàny?ngyuàn h?n dà.,El sol sale por el este.,Le cinéma est très grand.
,sent_084,w_084,,Hello!,,The sun rises from the east.,????????,tàiyáng cóng d?ngbi?n sh?ng q?.,???????????,tàiyáng cóng d?ngbi?n sh?ng q?.,La escuela está en el lado este.,Le soleil se lève à l'est.
,sent_085,w_085,,food,,The school is on the east side.,??????,xuéxiào zài d?ngbi?n.,??????????,xuéxiào zài d?ngbi?n.,Compré muchas cosas.,L'école est à l'est.
,sent_086,w_086,,eight,,I bought many things.,????????,w? m?i le h?n du? d?ngxi.,??????????,w? m?i le h?n du? d?ngxi.,"Por favor, no te muevas.",J'ai acheté beaucoup de choses.
,sent_087,w_087,,dad,,Please do not move.,?????,q?ng bú yào dòng.,?????????????,q?ng bú yào dòng.,Se mueve muy rápido.,"Ne bougez pas, s'il vous plaît."
,sent_088,w_088,,Hello!,,His movements are very fast.,???????,t? de dòngzuò h?n kuài.,??????????,t? de dòngzuò h?n kuài.,Todos hemos llegado.,Ses mouvements sont très rapides.
,sent_089,w_089,,food,,We all have arrived.,??????,w?men d?u lái le.,?????????????,w?men d?u lái le.,Me gusta leer libros.,Nous sommes tous arrivés.
,sent_090,w_090,,eight,,I like reading books.,??????,w? x?huan dú sh?.,???????????,w? x?huan dú sh?.,Lee libros todos los días.,J'aime lire des livres.
,sent_091,w_091,,dad,,He reads books every day.,??????,t? m?i ti?n dú sh?.,??????,t? m?i ti?n dú sh?.,Tienes razón.,Il lit des livres tous les jours.
,sent_092,w_092,,Hello!,,You are right.,?????,n? shu? de duì.,????????????????,n? shu? de duì.,"Lo siento, llego tarde.",Vous avez raison.
,sent_093,w_093,,food,,"Sorry, I am late.",?????????,"duìbuq?, w? chídào le.",???????????????,"duìbuq?, w? chídào le.",Hay mucha gente aquí.,"Désolé, je suis en retard."
,sent_094,w_094,,eight,,There are many people here.,??????,zhè l? rén h?n du?.,?????????????,zhè l? rén h?n du?.,¿Cuánto dinero tienes?,Il y a beaucoup de monde ici.
,sent_095,w_095,,dad,,How much money do you have?,??????,n? y?u du? sh?o qián?,?????????????,n? y?u du? sh?o qián?,Tengo mucha hambre.,Combien d'argent avez-vous ?
,sent_096,w_096,,Hello!,,I am very hungry.,????,w? h?n è.,??????????,w? h?n è.,Tiene un hijo.,J'ai très faim.
,sent_097,w_097,,food,,He has a son.,???????,t? y?u yí gè érzi.,???2?????????,t? y?u yí gè érzi.,Tiene dos hijos.,Il a un fils.
,sent_098,w_098,,eight,,He has two children.,????????,t? ji? y?u li?ng gè háizi.,??????,t? ji? y?u li?ng gè háizi.,Comí.,Il a deux enfants.
,sent_099,w_099,,dad,,I ate.,?????,w? ch? fàn le.,???????????????,w? ch? fàn le.,El restaurante está muy animado.,J'ai mangé.
,sent_100,w_100,,Hello!,,The restaurant is very lively.,???????,fàndiàn l? h?n rènào.,???????,fàndiàn l? h?n rènào.,El restaurante está muy animado.,Le restaurant est très animé.
