schema_version,picture_id,file,display_ms,difficulty,zh_sentence,ja_sentence,es_sentence,fr_sentence,en_sentence,zh_tr,ja_tr
1,pic_001,pic_001.jpg,10000,A1,新环境,環境があります,viejo medio ambiente,mon environnement,big environment,huánjìng hěn měi,kankyou wa furui
1,pic_002,pic_002.jpg,12000,A1,我喜欢美丽,美しいです,mi hermoso,votre beau,new beautiful,měilì zài zhèlǐ,utsukushii ga arimasu
1,pic_003,pic_003.jpg,12000,A1,复杂很好,複雑は新しい,tu complejo,complexe ici maintenant,small complex,fùzá bùcuò,fukuzatsu wa furui
1,pic_004,pic_004.jpg,10000,A1,书很好,私の本,gran libro,livre très bien,my book,shū bùcuò,anata no hon
1,pic_005,pic_005.jpg,8000,A1,文化在这里,あなたの文化,mi cultura,culture très bien,old culture,xīn wénhuà,bunka wo taberu
1,pic_006,pic_006.jpg,8000,A1,重要的不错,重要なは大きい,pequeño significativo,vieux significatif,new significant,zhòngyào de bùcuò,juuyou na desu
1,pic_007,pic_007.jpg,12000,A1,房子很美,家があります,pequeño casa,maison ici maintenant,old house,fángzi zài zhèlǐ,anata no ie
1,pic_008,pic_008.jpg,10000,A1,我喜欢范式,パラダイムがあります,me gusta paradigma,vieux paradigme,paradigm is good,fànshì bùcuò,paradaimu wa atarashii
1,pic_009,pic_009.jpg,8000,A1,大分析,分析するは新しい,mi analizar,petit analyser,analyze is good,nǐ de fēnxī,bunseki suru wa ōkii
1,pic_010,pic_010.jpg,8000,A1,我的发展,発展するは新しい,pequeño desarrollar,votre développer,your develop,fāzhǎn zài zhèlǐ,hatten suru ga arimasu
1,pic_011,pic_011.jpg,8000,A1,我的证明,実証するは小さい,tu demostrar,démontrer est bon,your demonstrate,zhèngmíng bùcuò,jisshou suru wo taberu
1,pic_012,pic_012.jpg,8000,A1,新经验,経験は小さい,mi experiencia,votre expérience,my experience,xiǎo jīngyàn,anata no keiken
1,pic_013,pic_013.jpg,10000,A2,大文化,文化があります,pequeño cultura,culture ici maintenant,new culture,wǒ de wénhuà,anata no bunka
1,pic_014,pic_014.jpg,12000,A2,影响不错,影響するがいい,influir muy bien,j'aime influencer,your influence,yǐngxiǎng hěn měi,eikyou suru wa ōkii
1,pic_015,pic_015.jpg,12000,A2,证明在这里,実証するがあります,demostrar es bueno,petit démontrer,I like demonstrate,zhèngmíng bùcuò,jisshou suru wa atarashii
1,pic_016,pic_016.jpg,12000,A2,房子在这里,家は新しい,mi casa,j'aime maison,old house,dà fángzi,ie wa furui
1,pic_017,pic_017.jpg,10000,A2,吃在这里,食べるは大きい,comer muy bien,grand manger,eat is good,xiǎo chī,taberu desu
1,pic_018,pic_018.jpg,8000,A2,我喜欢分析,分析するがあります,viejo analizar,petit analyser,analyze very nice,fēnxī hěn měi,watashi no bunseki suru
1,pic_019,pic_019.jpg,12000,A2,大美丽,美しいがあります,gran hermoso,nouveau beau,beautiful very nice,měilì zài zhèlǐ,anata no utsukushii
1,pic_020,pic_020.jpg,12000,A2,复杂很好,複雑は大きい,me gusta complejo,complexe très bien,big complex,dà fùzá,watashi no fukuzatsu
1,pic_021,pic_021.jpg,10000,A2,书在这里,本がいい,viejo libro,livre est bon,big book,wǒ xǐhuān shū,hon ga arimasu
1,pic_022,pic_022.jpg,12000,A2,你的重要的,重要なです,mi significativo,mon significatif,small significant,zhòngyào de hěn měi,juuyou na wa atarashii
1,pic_023,pic_023.jpg,8000,B1,小理解,あなたの理解する,viejo entender,vieux comprendre,understand is good,lǐjiě zài zhèlǐ,rikai suru desu
1,pic_024,pic_024.jpg,8000,B1,新范式,パラダイムは新しい,paradigma es bueno,petit paradigme,I like paradigm,fànshì bùcuò,paradaimu desu
1,pic_025,pic_025.jpg,10000,B1,分析在这里,分析するを食べる,analizar aquí ahora,analyser ici maintenant,analyze here now,fēnxī hěn měi,bunseki suru ga arimasu
1,pic_026,pic_026.jpg,12000,B1,新分析,私の分析する,gran analizar,analyser est bon,small analyze,fēnxī zài zhèlǐ,bunseki suru wa ōkii
1,pic_027,pic_027.jpg,12000,B1,我的学习,勉強するは大きい,estudiar es bueno,étudier très bien,my study,xuéxí zài zhèlǐ,benkyou suru ga arimasu
1,pic_028,pic_028.jpg,10000,B1,你的书,本は新しい,gran libro,j'aime livre,old book,wǒ de shū,watashi no hon
1,pic_029,pic_029.jpg,8000,B1,我喜欢现象,現象は古い,pequeño fenómeno,votre phénomène,I like phenomenon,xiànxiàng hěn hǎo,genshou desu
1,pic_030,pic_030.jpg,8000,B1,新基本的,あなたの基本的,me gusta fundamental,fondamental est bon,big fundamental,wǒ de jīběn de,anata no kihonteki
1,pic_031,pic_031.jpg,10000,B2,新复杂,複雑があります,gran complejo,j'aime complexe,complex very nice,xiǎo fùzá,fukuzatsu wo taberu
1,pic_032,pic_032.jpg,8000,B2,我喜欢全面的,包括的を食べる,mi comprensivo,compréhensif est bon,comprehensive very nice,wǒ xǐhuān quánmiàn de,houkatsuteki wa chiisai
1,pic_033,pic_033.jpg,12000,B2,我喜欢文化,文化があります,me gusta cultura,petit culture,I like culture,wénhuà bùcuò,bunka desu
1,pic_034,pic_034.jpg,10000,B2,新环境,環境は大きい,nuevo medio ambiente,votre environnement,your environment,xīn huánjìng,kankyou desu
1,pic_035,pic_035.jpg,10000,B2,大分析,分析するは古い,tu analizar,analyser est bon,old analyze,xīn fēnxī,bunseki suru wa atarashii
1,pic_036,pic_036.jpg,8000,B2,现象很好,現象は大きい,tu fenómeno,petit phénomène,old phenomenon,wǒ xǐhuān xiànxiàng,genshou wa ōkii
1,pic_037,pic_037.jpg,8000,B2,书很美,本がいい,libro es bueno,livre très bien,small book,wǒ de shū,anata no hon
1,pic_038,pic_038.jpg,12000,B2,书在这里,私の本,libro es bueno,livre est bon,book very nice,xīn shū,hon desu
1,pic_039,pic_039.jpg,12000,C1,大重要的,重要なは大きい,gran significativo,significatif ici maintenant,significant very nice,nǐ de zhòngyào de,juuyou na wa chiisai
1,pic_040,pic_040.jpg,8000,C1,理解在这里,理解するは大きい,viejo entender,comprendre ici maintenant,understand here now,wǒ xǐhuān lǐjiě,rikai suru wa chiisai
1,pic_041,pic_041.jpg,8000,C1,我的社会,社会は新しい,sociedad muy bien,vieux société,society here now,wǒ xǐhuān shèhuì,watashi no shakai
1,pic_042,pic_042.jpg,8000,C1,你的书,本を食べる,libro aquí ahora,nouveau livre,book here now,wǒ xǐhuān shū,watashi no hon
1,pic_043,pic_043.jpg,8000,C1,你的分析,分析するは大きい,gran analizar,j'aime analyser,old analyze,nǐ de fēnxī,bunseki suru wa furui
1,pic_044,pic_044.jpg,8000,C1,理解不错,理解するは大きい,mi entender,nouveau comprendre,your understand,dà lǐjiě,rikai suru desu
1,pic_045,pic_045.jpg,8000,C2,全面的很好,私の包括的,me gusta comprensivo,mon compréhensif,your comprehensive,quánmiàn de hěn měi,houkatsuteki wo taberu
1,pic_046,pic_046.jpg,12000,C2,新美丽,あなたの美しい,nuevo hermoso,votre beau,beautiful is good,xiǎo měilì,anata no utsukushii
1,pic_047,pic_047.jpg,12000,C2,新影响,あなたの影響する,viejo influir,j'aime influencer,I like influence,yǐngxiǎng zài zhèlǐ,eikyou suru wa ōkii
1,pic_048,pic_048.jpg,8000,C2,我喜欢分析,分析するです,analizar aquí ahora,analyser très bien,new analyze,nǐ de fēnxī,bunseki suru wa atarashii
1,pic_049,pic_049.jpg,8000,C2,我喜欢美丽,美しいがあります,viejo hermoso,nouveau beau,beautiful here now,xiǎo měilì,utsukushii ga ii
1,pic_050,pic_050.jpg,10000,C2,全面的很好,包括的は新しい,gran comprensivo,mon compréhensif,your comprehensive,wǒ xǐhuān quánmiàn de,houkatsuteki ga arimasu
